mag_r,u-g,g-r,r-i,i-z,z_spec
19.396818,1.311953,1.590475,0.788214,0.441675,0.490311
17.058064,1.872807,1.219055,0.454042,0.329639,0.196376
17.761755,1.889505,1.278072,0.45244,0.284863,0.250714
18.406464,1.968334,1.504747,0.688961,0.441652,0.257114
17.56941,1.78274,1.306568,0.416105,0.366505,0.165605
20.334101,1.03408,1.362139,0.763252,0.388424,0.431916
18.868631,1.119564,1.8999,0.554674,0.29035,0.273695
18.537796,1.677595,1.345724,0.633429,0.346785,0.274579
18.412611,2.186701,1.609375,0.582479,0.34708,0.323798
20.054262,1.749029,1.453463,0.765205,0.358803,0.552691
17.736166,1.394648,1.424698,0.471027,0.299774,0.294985
17.875488,1.829609,1.426493,0.573273,0.343449,0.228176
19.346552,1.047176,1.671654,0.701506,0.280848,0.396326
16.647715,2.13039,1.20821,0.47234,0.330514,0.170728
18.742424,1.729244,1.465643,0.629574,0.335247,0.330577
18.986343,1.344461,1.781828,0.622984,0.304209,0.343538
18.589409,1.479492,1.818501,0.585444,0.385206,0.360259
18.668446,1.420475,1.571012,0.567987,0.384222,0.374573
17.5275,1.932787,1.421785,0.490015,0.353666,0.238157
17.678383,2.067476,1.450199,0.499043,0.324102,0.237176
18.547375,1.393488,1.955431,0.624706,0.306561,0.376663
18.930408,1.955347,1.796825,0.626959,0.356588,0.379402
19.512621,1.146874,1.660235,0.728243,0.472668,0.459691
18.087027,2.055311,1.681604,0.574284,0.356983,0.335091
19.307533,1.467756,1.730474,0.690332,0.418835,0.418871
19.032581,1.749989,1.709894,0.572966,0.314951,0.352854
17.133324,1.747534,1.380737,0.499943,0.33955,0.216864
18.050896,1.6618,1.39193,0.545609,0.301022,0.264034
19.129091,2.051785,1.804508,0.55674,0.388409,0.321732
18.837379,1.961481,1.678106,0.620045,0.277264,0.334894
19.092968,1.614716,1.777666,0.675362,0.42227,0.386591
17.954624,2.032209,1.431005,0.599022,0.261473,0.231067
18.381947,1.577303,1.689691,0.598141,0.309931,0.336655
18.366648,1.84874,1.772184,0.595201,0.324108,0.367567
18.726213,1.37241,1.584335,0.563843,0.365488,0.303487
17.877768,1.692221,1.421205,0.500957,0.272955,0.25042
18.895636,1.753931,1.964554,0.674292,0.29751,0.369504
18.058395,1.584431,1.621676,0.469934,0.383369,0.203659
17.511583,1.733168,1.756302,0.57494,0.271635,0.336724
19.072546,1.425304,1.789942,0.693304,0.38249,0.420978
19.256617,1.447876,1.780161,0.721613,0.41028,0.431045
19.062294,1.928833,1.791637,0.645105,0.251207,0.379122
16.882164,1.899849,1.259592,0.49419,0.323267,0.183699
16.681135,1.96669,1.266085,0.480034,0.305289,0.183824
16.885101,1.885355,1.253523,0.461859,0.362432,0.183045
20.076157,1.596388,1.629682,0.276545,0.35141,0.375817
18.304005,1.623129,1.700352,0.566961,0.342752,0.314846
17.689386,2.012222,1.224297,0.457222,0.316648,0.171265
17.493885,2.145422,1.239391,0.470255,0.375956,0.188459
18.696091,1.823767,1.768738,0.604485,0.434978,0.342528
17.097103,2.146763,1.321581,0.492456,0.33625,0.216504
20.178686,1.382547,1.541273,0.750332,0.390068,0.470459
18.60153,1.578459,1.828711,0.68811,0.350826,0.401329
18.837894,1.694487,1.645702,0.616222,0.331659,0.316006
18.61735,2.050837,1.531818,0.588869,0.41156,0.304941
18.963799,2.138512,1.656767,0.624245,0.315363,0.351826
18.916378,1.543177,1.734798,0.545881,0.334459,0.361107
19.032997,1.425953,1.78813,0.629549,0.379345,0.395353
19.253353,2.006039,1.818768,0.698854,0.414463,0.365407
20.157927,1.131828,1.314705,0.718613,0.299505,0.288856
17.378937,2.078743,1.385355,0.526592,0.33333,0.244578
20.189201,1.017231,1.246496,0.728851,0.454679,0.418408
18.263489,1.923771,1.466204,0.518213,0.320852,0.239994
18.494736,1.84527,1.615606,0.545883,0.294966,0.328231
18.857784,1.698873,1.614565,0.580879,0.349079,0.36136
18.115482,2.158024,1.453197,0.524319,0.323086,0.285016
18.014097,1.95373,1.433188,0.510599,0.34359,0.266382
17.741125,1.959766,1.276016,0.476118,0.256784,0.255117
18.597322,1.925079,1.971872,0.554716,0.308144,0.361115
18.632256,2.036074,1.666874,0.520168,0.37463,0.327795
20.09944,1.514191,1.226175,0.767553,0.405804,0.493445
19.983719,1.620104,1.350681,0.737177,0.417301,0.499058
20.056824,1.43973,1.22797,0.706238,0.419685,0.234272
19.197451,1.783703,1.713577,0.65073,0.376699,0.451063
18.500704,1.956175,1.567732,0.54665,0.317678,0.259663
18.381086,1.401136,1.654671,0.573456,0.383432,0.321183
18.905329,1.731035,1.901318,0.561764,0.339228,0.381273
