mag_r,u-g,g-r,r-i,i-z,z_spec
18.606741,2.047367,1.674248,0.572844,0.296253,0.339661
17.574516,2.182331,1.283543,0.462767,0.349333,0.191589
18.38797,1.632086,1.550974,0.652796,0.434017,0.329988
18.879351,2.019358,1.77692,0.621243,0.395702,0.355426
19.709793,1.79462,1.716047,0.79698,0.488684,0.466204
19.174076,2.179678,1.844543,0.603064,0.37438,0.367228
16.839752,1.71368,1.233049,0.50647,0.371191,0.186195
17.773067,1.771217,1.41349,0.554678,0.431255,0.301524
19.041637,1.440409,1.649712,0.604778,0.372862,0.375445
18.236599,2.083206,1.587379,0.533543,0.310453,0.274429
19.389503,1.516264,1.884098,0.592016,0.295349,0.350954
17.541754,1.780115,1.306822,0.549915,0.383421,0.212398
17.766388,2.018593,1.469908,0.51214,0.320202,0.268095
18.644817,2.175375,1.54344,0.599628,0.367336,0.270345
18.159983,1.814331,1.463415,0.551695,0.251673,0.271532
18.623652,1.626385,1.500067,0.586039,0.336449,0.292254
18.828684,2.037043,1.6928,0.675274,0.408957,0.342106
17.832693,1.871796,1.339231,0.514334,0.356146,0.203918
17.265905,2.193256,1.362318,0.510056,0.354774,0.244045
17.635221,1.805365,1.316517,0.516357,0.268726,0.268236
19.056849,1.770899,1.758907,0.625214,0.461107,0.378954
17.661552,1.896509,1.307606,0.485493,0.35922,0.219958
20.080503,1.825581,1.728897,0.784391,0.365061,0.528615
17.613758,2.077856,1.352001,0.520914,0.339128,0.219805
18.854044,2.08807,1.722002,0.594864,0.485474,0.361679
18.866041,1.672047,1.654362,0.579815,0.318876,0.326826
19.468096,1.443327,1.828878,0.669098,0.379271,0.405682
18.437155,1.904282,1.689777,0.619564,0.337563,0.358905
18.20178,2.103203,1.444065,0.531464,0.337336,0.258846
17.611559,1.792749,1.30789,0.43487,0.282873,0.236397
17.258461,1.787777,1.382795,0.479628,0.304844,0.21757
18.541391,1.414738,1.710682,0.595026,0.303049,0.322209
18.786791,2.129194,1.564611,0.618427,0.363754,0.322225
18.611391,1.128103,1.604803,0.622452,0.357861,0.348
18.949036,1.253513,1.636562,0.646904,0.409912,0.397683
20.515154,1.628334,1.790865,0.794064,0.238537,0.467049
17.981487,1.881596,1.410351,0.499609,0.330114,0.261754
18.419077,1.901218,1.510586,0.593283,0.330517,0.302392
18.385666,2.124054,1.504682,0.592621,0.403864,0.279105
19.155287,1.290392,1.771994,0.571939,0.357084,0.350072
18.26734,1.80571,1.610392,0.536802,0.319139,0.302111
19.236286,1.57126,1.30438,0.501167,0.348486,0.29558
18.498507,1.701244,1.572184,0.547598,0.318172,0.293221
17.50811,1.766233,1.287817,0.489262,0.320738,0.197927
19.144032,1.657225,1.688221,0.637066,0.233566,0.409374
18.720716,1.53491,1.836288,0.611124,0.228468,0.34402
19.199965,2.159248,1.674309,0.643135,0.407282,0.392631
16.954666,1.982912,1.260548,0.475164,0.286541,0.217765
17.591885,1.988842,1.259155,0.445719,0.358929,0.185717
18.531317,1.273361,1.933422,0.635784,0.331207,0.375391
17.582619,1.819862,1.275972,0.530285,0.421116,0.270973
